Ruby Rose leaves Batwoman - and other stars who exited major roles,"The Australian actress Ruby Rose is to leave her role as comic book superhero Batwoman after just one series.Rose said it had been a ""very difficult decision"" not to return to the show, which is shown in the UK on E4.Batwoman, which began on the CW network last year, is the first superhero show to have an openly gay lead character.Its producers said they were ""firmly committed"" to the show's ""long-term"" future and would re-cast the role with another member of the LGBTQ community.Rose, who is openly gay, said she was ""truly grateful... to everyone who made season one a success"". The 34-year-old said she had ""the utmost respect"" for everyone involved and that the decision to leave had not been ""made lightly"".Rose faced a backlash on social media when she was cast as Batwoman, with some saying the role should have gone to a lesbian actress.The actress, who has called herself ""gender-fluid"" in interviews, later deleted her Twitter profile, though she remains active on Instagram.Last year Rose revealed she had suffered an injury while filming the series that had required her to undergo emergency surgery.The actress said she had ""herniated two discs doing stunts"" - but Deadline reported the injury was not the reason for her departure.Born in Melbourne in 1986, Rose played Stella Carlin in Orange is the New Black and has appeared in such films as Pitch Perfect 3 and The Meg.Yet she is far from the first actor to leave or be replaced in a major film or TV show.George Lazenby famously walked away from the role of James Bond after making just one appearance in the popular spy film series.The model turned actor later admitted he had been persuaded by his then-manager - the late Ronan O'Rahilly - to seek other opportunities.""I thought he knew what he was talking about so I listened to him,"" the Australian told an audience at the National Film Theatre last year.Lazenby's single outing as Bond, On Her Majesty's Secret Service, was released in 1969 and is now a firm fan favourite.Christopher Eccleston was cast as The Doctor when Doctor Who was relaunched in 2005 - but he departed after a single series.The actor, who was replaced by David Tennant, later said he ""didn't enjoy the environment and the culture"" of the show.""My relationship with my three immediate superiors... broke down irreparably during the first block of filming and it never recovered,"" he elaborated in 2018.The actor, currently to be seen in The A Word on BBC One, also said he had been ""out of his comfort zone"" playing the sci-fi drama's time-travelling hero.Edward Norton was cast as Bruce Banner in 2008's The Incredible Hulk but did not reprise the role in Marvel Studios' subsequent comic-book blockbusters.Its president Kevin Feige later said the role had been recast out of a ""need for an actor who embodies the creativity and collaborative spirit of our other talented cast members"".Speaking last year, Norton called Feige's 2010 statement ""cheap"" and that his exit had been the result of differing views on how to depict the character.""Ultimately they weren't going for long, dark and serious,"" said Norton, who was replaced by Mark Ruffalo when The Hulk returned in 2012's Avengers Assemble.Terrence Howard, who played James ""Rhodey"" Rhodes in 2008's Iron Man, is another actor to be replaced in Marvel's superhero film series.He later claimed he was offered less money than he had been promised to reprise the role, which Don Cheadle has played since 2010's Iron Man 2.Sharon Gless played Christine Cagney in Cagney and Lacey for seven years, winning two Primetime Emmys and a Golden Globe for her pains.Yet she was not the first actress to play the part in the popular US TV series about two female police detectives solving crimes in New York City.Loretta Swit played Cagney in the original TV movie but was not able to continue in the role when the CBS show went to series.Meg Foster was then cast, only to be replaced after six episodes because CBS allegedly wanted someone ""more feminine"" in the role.Speaking in 2012, Gless praised her co-star Tyne Daly for ""welcoming me as if she had not had anybody before me"".""I know her heart was hurting because she loved her last Cagney,"" she revealed.When Men Behaving Badly first began in 1992, the two flatmates were played by Martin Clunes and Harry Enfield.According to Clunes, though, the show that ITV produced did not match Enfield's hopes for it.""His original vision was for it not to be like a usual sitcom,"" Clunes told The Guardian in 2013. ""Then we made the pilot and it shocked him.""You could see Harry wanted out,"" he continued. ""He was under contract, though, so had to do one series.""Neil Morrissey was subsequently cast as Clunes' flatmate in the show, which continued on ITV for another series before being picked up by the BBC.",20 May 2020,entertainment
Ruby Rose leaves Batwoman - and other stars who exited major roles,"The Australian actress Ruby Rose is to leave her role as comic book superhero Batwoman after just one series.Rose said it had been a ""very difficult decision"" not to return to the show, which is shown in the UK on E4.Batwoman, which began on the CW network last year, is the first superhero show to have an openly gay lead character.Its producers said they were ""firmly committed"" to the show's ""long-term"" future and would re-cast the role with another member of the LGBTQ community.Rose, who is openly gay, said she was ""truly grateful... to everyone who made season one a success"". The 34-year-old said she had ""the utmost respect"" for everyone involved and that the decision to leave had not been ""made lightly"".Rose faced a backlash on social media when she was cast as Batwoman, with some saying the role should have gone to a lesbian actress.The actress, who has called herself ""gender-fluid"" in interviews, later deleted her Twitter profile, though she remains active on Instagram.Last year Rose revealed she had suffered an injury while filming the series that had required her to undergo emergency surgery.The actress said she had ""herniated two discs doing stunts"" - but Deadline reported the injury was not the reason for her departure.Born in Melbourne in 1986, Rose played Stella Carlin in Orange is the New Black and has appeared in such films as Pitch Perfect 3 and The Meg.Yet she is far from the first actor to leave or be replaced in a major film or TV show.George Lazenby famously walked away from the role of James Bond after making just one appearance in the popular spy film series.The model turned actor later admitted he had been persuaded by his then-manager - the late Ronan O'Rahilly - to seek other opportunities.""I thought he knew what he was talking about so I listened to him,"" the Australian told an audience at the National Film Theatre last year.Lazenby's single outing as Bond, On Her Majesty's Secret Service, was released in 1969 and is now a firm fan favourite.Christopher Eccleston was cast as The Doctor when Doctor Who was relaunched in 2005 - but he departed after a single series.The actor, who was replaced by David Tennant, later said he ""didn't enjoy the environment and the culture"" of the show.""My relationship with my three immediate superiors... broke down irreparably during the first block of filming and it never recovered,"" he elaborated in 2018.The actor, currently to be seen in The A Word on BBC One, also said he had been ""out of his comfort zone"" playing the sci-fi drama's time-travelling hero.Edward Norton was cast as Bruce Banner in 2008's The Incredible Hulk but did not reprise the role in Marvel Studios' subsequent comic-book blockbusters.Its president Kevin Feige later said the role had been recast out of a ""need for an actor who embodies the creativity and collaborative spirit of our other talented cast members"".Speaking last year, Norton called Feige's 2010 statement ""cheap"" and that his exit had been the result of differing views on how to depict the character.""Ultimately they weren't going for long, dark and serious,"" said Norton, who was replaced by Mark Ruffalo when The Hulk returned in 2012's Avengers Assemble.Terrence Howard, who played James ""Rhodey"" Rhodes in 2008's Iron Man, is another actor to be replaced in Marvel's superhero film series.He later claimed he was offered less money than he had been promised to reprise the role, which Don Cheadle has played since 2010's Iron Man 2.Sharon Gless played Christine Cagney in Cagney and Lacey for seven years, winning two Primetime Emmys and a Golden Globe for her pains.Yet she was not the first actress to play the part in the popular US TV series about two female police detectives solving crimes in New York City.Loretta Swit played Cagney in the original TV movie but was not able to continue in the role when the CBS show went to series.Meg Foster was then cast, only to be replaced after six episodes because CBS allegedly wanted someone ""more feminine"" in the role.Speaking in 2012, Gless praised her co-star Tyne Daly for ""welcoming me as if she had not had anybody before me"".""I know her heart was hurting because she loved her last Cagney,"" she revealed.When Men Behaving Badly first began in 1992, the two flatmates were played by Martin Clunes and Harry Enfield.According to Clunes, though, the show that ITV produced did not match Enfield's hopes for it.""His original vision was for it not to be like a usual sitcom,"" Clunes told The Guardian in 2013. ""Then we made the pilot and it shocked him.""You could see Harry wanted out,"" he continued. ""He was under contract, though, so had to do one series.""Neil Morrissey was subsequently cast as Clunes' flatmate in the show, which continued on ITV for another series before being picked up by the BBC.",20 May 2020,entertainment
Joe Rogan signs with Spotify in major and exclusive podcast deal,"Joe Rogan has signed an exclusive deal with Spotify, which will see his podcast, The Joe Rogan Experience, disappear from all other platforms.The multi-year deal is believed to be worth $100m (£82 million), according to the Wall Street Journal.Rogan's podcast, which is one of the most popular in the world, will arrive on the streaming giant on 1 September.It will then be housed there exclusively by the end of the year, and removed from all other platforms.""It will remain free, and it will be the exact same show,"" said Rogan. ""It's just a licensing deal, so Spotify won't have any creative control over the show.""They want me to just continue doing it the way I'm doing it right now.""I'm excited to have the support of the largest audio platform in the world and I hope you folks are there when we make the switch!""Joe Rogan is a US stand-up comedian and TV host-turned-provocateur, who launched his podcast in 2009 - in the early days of the medium.He invites a wide range of guests, including actors, musicians, comedians, politicians and conspiracy theorists on to the show, which has garnered a huge audience. Last year the podcast was downloaded 190 million times per month.Rogan has previously advocated for ""long-form media"" - and his own podcast episodes regularly run to two or three hours.The controversial entertainer also has 8.42 million subscribers to his YouTube channel, which has up until now shown the interviews in video form (this will stop when the new Spotify deal kicks in).But he has also attracted criticism - Rogan has been accused of making sexist, racist and transphobic comments in his podcasts.""The Joe Rogan Experience has become one of the internet's foremost vectors for anti-wokeness,"" wrote Justin Peters in Slate.In 2018, Rogan's show hit the headlines when the host shared a cannabis joint with Tesla boss Elon Musk, after which the company's stocks fell by 9%.Rogan has been credited as being an ""unlikely political influencer"" by the New York Times, due to his reach. In January, he informed his legions of followers that he would ""probably vote for Bernie"", referring to the then Democratic Party candidate Bernie Sanders, who received increased press coverage as a result.However, since Joe Biden became the party's presumptive nominee, Rogan has said he is more likely to vote for President Trump.The kind of figures involved in the deal are incredibly rare in the podcast world - and Rogan will now likely earn more money than most musicians on Spotify.""Joe Rogan just got paid the equivalent value of over 26 billion streams for a podcast licence,"" wrote Tom Gray, director of the royalties, music copyright and licensing society, PRS for Music.""A musician would need to generate 23 billion streams on Spotify to earn what they're paying Joe Rogan for his podcast rights."" added music writer Ted Gioia.Gioia suggested this means ""Spotify values Rogan more than any musician in the history of the world"".TV critic and broadcaster Scott Bryan predicted the deal could ""lead the way to others"", but noted that the exclusivity clause would leave many fans locked out.""It might do what Sky did for a lot of shows,"" he tweeted. ""Lift them up, but put them behind a wall that the culture mostly then ignores.""Although Rogan has said the podcast will still be free to access, Spotify will be hoping the increased traffic to its service will lead to a significant increase in subscriber numbers.It is generally difficult to make large amounts of money in the crowded world of podcasts. As most podcasts are free to download, many presenters and producers attempt to make money from endorsements and advertising. A platform-exclusive deal such as this is very rare.  ",20 May 2020,entertainment
BBC Three could return as an on-air channel,"The BBC is considering the case for bringing back BBC Three as a regular TV channel, four years after it was taken off air and moved online.The youth channel, which commissioned hits like Normal People and Fleabag, will also have its budget doubled.It left linear TV in 2016 to save £30m, and because the corporation said young people were watching more shows online.The BBC now says it is ""considering the case"" for returning the channel to ""linear television"".A BBC spokesman said ""we'd be wrong not to back a service that is doing better than anyone could have ever conceived"".The turnaround will be formally announced as part of the BBC's annual plan on Wednesday, but there was no news about the fate of BBC Four, which has been rumoured for the axe.The corporation warned that putting BBC Three back on TV will mean reductions in other areas, especially as the BBC's income has been reduced by £125 million during the coronavirus outbreak. But it says those decisions won't be made until the autumn when there is a clearer picture of the BBC's finances. However, the BBC did say it had no plans to close BBC Four at the moment.BBC Three launched in 2003 and made its name with hits like Little Britain and Gavin & Stacey.In recent years, it has also been behind comedy and drama successes like This Country, People Just Do Nothing, My Left Nut and the Bafta-winning Killed By My Debt.It has also made the reality shows RuPaul's Drag Race UK and Glow Up; as well as hard-hitting documentaries like Stacey Dooley's investigations and Jesy Nelson's Odd One Out.Normal People, an adaptation of the Sally Rooney novel, recently propelled BBC Three to its biggest ever week on iPlayer, with 21.8 million requests for the channel's programmes.Its shows have been aired on regular TV as well as online, including in a dedicated zone on BBC One after the News At Ten since last spring.When it moved online in February 2016, the BBC Trust said ""independent evidence shows younger audiences are watching more online and watching less linear TV"".But BBC Three reached 8% of British 16-34-year-olds per week in 2018/19, down from 22% in 2015/16.The BBC now says its research shows there is a potential large linear audience for the channel's programmes, which it says are reaching both young people and the wider audience in ""big numbers"".The news comes two months after director general Tony Hall told MPs the board was looking to ""divert more resources into BBC Three to build the kind of creative content they're delivering"".But with the corporation needing to make savings, there has been speculation that BBC Four may be among the casualties.A petition calling for the channel to be saved has attracted more than 58,000 signatures.In its plan, the BBC said it was ""exploring potential commercial opportunities"" outside the UK for BBC Four to become a global subscription service.",19 May 2020,entertainment
Feud erupts over Ariana Grande and Justin Bieber's US chart position,"Ariana Grande and Justin Bieber have defended themselves after rapper Tekashi 6ix9ine accused them of buying the number one spot on the US chart.The rapper claimed the pop stars had bought tens of thousands of copies of their charity duet Stuck With U to boost its position.He also said some streams of his song Gooba were improperly discounted, leaving it in third place on the chart.Grande, Bieber and chart compilers Billboard have all denied the claims.Bieber called the rapper's accusations ""a lie"", while Grande advised him to ""take a moment to humble yourself"".Billboard, which publishes the US charts, posted a lengthy article refuting each of his points while explaining how positions were calculated.""Overall, Stuck With U drew 28.1 million US streams, 26.3 million in radio airplay audience and 108,000 sold in the tracking week,"" it explained. ""Gooba had 55.3 million US streams, 172,000 in radio airplay audience and 24,000 sold.""Those sums resulted in the songs' respective rankings on this week's Hot 100.""End of Youtube post  by ArianaGrandeVevoGooba is Tekashi 6ix9ine's first single since he was released from prison into house arrest last month.He was serving time after pleading guilty to multiple counts of racketeering, firearms offences and drug trafficking, and was freed over fears that his chronic asthma would make him vulnerable to the coronavirus.The 23-year-old first expressed his dissatisfaction on Friday in an Instagram video where he claimed the charts were being rigged.He presented forecasts that were purportedly sent to major record labels on Thursday, which showed Grande and Bieber's duet charting at number five.6ix9ine then showed a second email, which he claimed was sent at ""the last second"" on Thursday night (the cut-off point for sales to be included in the chart). It showed that Stuck With U had sold an additional 60,000 copies, boosting it to number one.""Literally, you're manipulating the charts now,"" he said. ""So, Billboard, the world is watching.""When the charts were announced on Monday, the rapper intensified his criticism, claiming the pop stars had bought tens of thousands of copies of their own single.""Understand this, they bought 30,000 or so units on six credit cards,"" he said. ""It's all manipulated, it's all fabricated,"" he added, before accusing Billboard of ""disqualifying"" 20 million or so of Gooba's streams.""I want the world to know that Billboard is a lie. You can buy number ones.""Bieber rejected several of the rapper's arguments. ""He says his streams don't count,"" he wrote. ""Yes they do, but he is counting his global streams and this is a domestic chart, so only domestic streams count.""He added that the additional 60,000 sales of Stuck With U were not reported until Thursday as a tactic to beat the competition. ""That's called strategy,"" said the singer.And he said it was impossible to buy 30,000 copies of a single on six credit cards because bulk purchases were against chart rules.Grande responded with her own statement on Instagram. Although she didn't mention 6ix9ine by name, she made her feelings clear.After thanking fans for their support, the singer said: ""You cannot discredit this as hard as you try.""She added: ""To anybody that is displeased with their placement on the chart this week... I ask you to take a moment to humble yourself. Be grateful you're even here.""Billboard's column went into forensic detail on how the charts were compiled.Grande and Bieber's tally was boosted by the availability of a physical/digital bundle - meaning fans could buy an autographed copy of the single, to be posted at a later date, along with a download that was available immediately. Both counted as an separate sale.Setting the feud aside, Grande and Bieber's manager Scooter Braun emphasised that proceeds from their single were going to the First Responders Children's Fund.""Thank you to all the first responders and their families,"" he wrote on Instagram. ""Let's keep raising money for them as they sacrifice for us. Nuff said.""",19 May 2020,entertainment
Ruby Rose leaves Batwoman - and other stars who exited major roles,"The Australian actress Ruby Rose is to leave her role as comic book superhero Batwoman after just one series.Rose said it had been a ""very difficult decision"" not to return to the show, which is shown in the UK on E4.Batwoman, which began on the CW network last year, is the first superhero show to have an openly gay lead character.Its producers said they were ""firmly committed"" to the show's ""long-term"" future and would re-cast the role with another member of the LGBTQ community.Rose, who is openly gay, said she was ""truly grateful... to everyone who made season one a success"". The 34-year-old said she had ""the utmost respect"" for everyone involved and that the decision to leave had not been ""made lightly"".Rose faced a backlash on social media when she was cast as Batwoman, with some saying the role should have gone to a lesbian actress.The actress, who has called herself ""gender-fluid"" in interviews, later deleted her Twitter profile, though she remains active on Instagram.Last year Rose revealed she had suffered an injury while filming the series that had required her to undergo emergency surgery.The actress said she had ""herniated two discs doing stunts"" - but Deadline reported the injury was not the reason for her departure.Born in Melbourne in 1986, Rose played Stella Carlin in Orange is the New Black and has appeared in such films as Pitch Perfect 3 and The Meg.Yet she is far from the first actor to leave or be replaced in a major film or TV show.George Lazenby famously walked away from the role of James Bond after making just one appearance in the popular spy film series.The model turned actor later admitted he had been persuaded by his then-manager - the late Ronan O'Rahilly - to seek other opportunities.""I thought he knew what he was talking about so I listened to him,"" the Australian told an audience at the National Film Theatre last year.Lazenby's single outing as Bond, On Her Majesty's Secret Service, was released in 1969 and is now a firm fan favourite.Christopher Eccleston was cast as The Doctor when Doctor Who was relaunched in 2005 - but he departed after a single series.The actor, who was replaced by David Tennant, later said he ""didn't enjoy the environment and the culture"" of the show.""My relationship with my three immediate superiors... broke down irreparably during the first block of filming and it never recovered,"" he elaborated in 2018.The actor, currently to be seen in The A Word on BBC One, also said he had been ""out of his comfort zone"" playing the sci-fi drama's time-travelling hero.Edward Norton was cast as Bruce Banner in 2008's The Incredible Hulk but did not reprise the role in Marvel Studios' subsequent comic-book blockbusters.Its president Kevin Feige later said the role had been recast out of a ""need for an actor who embodies the creativity and collaborative spirit of our other talented cast members"".Speaking last year, Norton called Feige's 2010 statement ""cheap"" and that his exit had been the result of differing views on how to depict the character.""Ultimately they weren't going for long, dark and serious,"" said Norton, who was replaced by Mark Ruffalo when The Hulk returned in 2012's Avengers Assemble.Terrence Howard, who played James ""Rhodey"" Rhodes in 2008's Iron Man, is another actor to be replaced in Marvel's superhero film series.He later claimed he was offered less money than he had been promised to reprise the role, which Don Cheadle has played since 2010's Iron Man 2.Sharon Gless played Christine Cagney in Cagney and Lacey for seven years, winning two Primetime Emmys and a Golden Globe for her pains.Yet she was not the first actress to play the part in the popular US TV series about two female police detectives solving crimes in New York City.Loretta Swit played Cagney in the original TV movie but was not able to continue in the role when the CBS show went to series.Meg Foster was then cast, only to be replaced after six episodes because CBS allegedly wanted someone ""more feminine"" in the role.Speaking in 2012, Gless praised her co-star Tyne Daly for ""welcoming me as if she had not had anybody before me"".""I know her heart was hurting because she loved her last Cagney,"" she revealed.When Men Behaving Badly first began in 1992, the two flatmates were played by Martin Clunes and Harry Enfield.According to Clunes, though, the show that ITV produced did not match Enfield's hopes for it.""His original vision was for it not to be like a usual sitcom,"" Clunes told The Guardian in 2013. ""Then we made the pilot and it shocked him.""You could see Harry wanted out,"" he continued. ""He was under contract, though, so had to do one series.""Neil Morrissey was subsequently cast as Clunes' flatmate in the show, which continued on ITV for another series before being picked up by the BBC.",20 May 2020,entertainment
Joe Rogan signs with Spotify in major and exclusive podcast deal,"Joe Rogan has signed an exclusive deal with Spotify, which will see his podcast, The Joe Rogan Experience, disappear from all other platforms.The multi-year deal is believed to be worth $100m (£82 million), according to the Wall Street Journal.Rogan's podcast, which is one of the most popular in the world, will arrive on the streaming giant on 1 September.It will then be housed there exclusively by the end of the year, and removed from all other platforms.""It will remain free, and it will be the exact same show,"" said Rogan. ""It's just a licensing deal, so Spotify won't have any creative control over the show.""They want me to just continue doing it the way I'm doing it right now.""I'm excited to have the support of the largest audio platform in the world and I hope you folks are there when we make the switch!""Joe Rogan is a US stand-up comedian and TV host-turned-provocateur, who launched his podcast in 2009 - in the early days of the medium.He invites a wide range of guests, including actors, musicians, comedians, politicians and conspiracy theorists on to the show, which has garnered a huge audience. Last year the podcast was downloaded 190 million times per month.Rogan has previously advocated for ""long-form media"" - and his own podcast episodes regularly run to two or three hours.The controversial entertainer also has 8.42 million subscribers to his YouTube channel, which has up until now shown the interviews in video form (this will stop when the new Spotify deal kicks in).But he has also attracted criticism - Rogan has been accused of making sexist, racist and transphobic comments in his podcasts.""The Joe Rogan Experience has become one of the internet's foremost vectors for anti-wokeness,"" wrote Justin Peters in Slate.In 2018, Rogan's show hit the headlines when the host shared a cannabis joint with Tesla boss Elon Musk, after which the company's stocks fell by 9%.Rogan has been credited as being an ""unlikely political influencer"" by the New York Times, due to his reach. In January, he informed his legions of followers that he would ""probably vote for Bernie"", referring to the then Democratic Party candidate Bernie Sanders, who received increased press coverage as a result.However, since Joe Biden became the party's presumptive nominee, Rogan has said he is more likely to vote for President Trump.The kind of figures involved in the deal are incredibly rare in the podcast world - and Rogan will now likely earn more money than most musicians on Spotify.""Joe Rogan just got paid the equivalent value of over 26 billion streams for a podcast licence,"" wrote Tom Gray, director of the royalties, music copyright and licensing society, PRS for Music.""A musician would need to generate 23 billion streams on Spotify to earn what they're paying Joe Rogan for his podcast rights."" added music writer Ted Gioia.Gioia suggested this means ""Spotify values Rogan more than any musician in the history of the world"".TV critic and broadcaster Scott Bryan predicted the deal could ""lead the way to others"", but noted that the exclusivity clause would leave many fans locked out.""It might do what Sky did for a lot of shows,"" he tweeted. ""Lift them up, but put them behind a wall that the culture mostly then ignores.""Although Rogan has said the podcast will still be free to access, Spotify will be hoping the increased traffic to its service will lead to a significant increase in subscriber numbers.It is generally difficult to make large amounts of money in the crowded world of podcasts. As most podcasts are free to download, many presenters and producers attempt to make money from endorsements and advertising. A platform-exclusive deal such as this is very rare.  ",20 May 2020,entertainment
BBC Three could return as an on-air channel,"The BBC is considering the case for bringing back BBC Three as a regular TV channel, four years after it was taken off air and moved online.The youth channel, which commissioned hits like Normal People and Fleabag, will also have its budget doubled.It left linear TV in 2016 to save £30m, and because the corporation said young people were watching more shows online.The BBC now says it is ""considering the case"" for returning the channel to ""linear television"".A BBC spokesman said ""we'd be wrong not to back a service that is doing better than anyone could have ever conceived"".The turnaround will be formally announced as part of the BBC's annual plan on Wednesday, but there was no news about the fate of BBC Four, which has been rumoured for the axe.The corporation warned that putting BBC Three back on TV will mean reductions in other areas, especially as the BBC's income has been reduced by £125 million during the coronavirus outbreak. But it says those decisions won't be made until the autumn when there is a clearer picture of the BBC's finances. However, the BBC did say it had no plans to close BBC Four at the moment.BBC Three launched in 2003 and made its name with hits like Little Britain and Gavin & Stacey.In recent years, it has also been behind comedy and drama successes like This Country, People Just Do Nothing, My Left Nut and the Bafta-winning Killed By My Debt.It has also made the reality shows RuPaul's Drag Race UK and Glow Up; as well as hard-hitting documentaries like Stacey Dooley's investigations and Jesy Nelson's Odd One Out.Normal People, an adaptation of the Sally Rooney novel, recently propelled BBC Three to its biggest ever week on iPlayer, with 21.8 million requests for the channel's programmes.Its shows have been aired on regular TV as well as online, including in a dedicated zone on BBC One after the News At Ten since last spring.When it moved online in February 2016, the BBC Trust said ""independent evidence shows younger audiences are watching more online and watching less linear TV"".But BBC Three reached 8% of British 16-34-year-olds per week in 2018/19, down from 22% in 2015/16.The BBC now says its research shows there is a potential large linear audience for the channel's programmes, which it says are reaching both young people and the wider audience in ""big numbers"".The news comes two months after director general Tony Hall told MPs the board was looking to ""divert more resources into BBC Three to build the kind of creative content they're delivering"".But with the corporation needing to make savings, there has been speculation that BBC Four may be among the casualties.A petition calling for the channel to be saved has attracted more than 58,000 signatures.In its plan, the BBC said it was ""exploring potential commercial opportunities"" outside the UK for BBC Four to become a global subscription service.",19 May 2020,entertainment
Feud erupts over Ariana Grande and Justin Bieber's US chart position,"Ariana Grande and Justin Bieber have defended themselves after rapper Tekashi 6ix9ine accused them of buying the number one spot on the US chart.The rapper claimed the pop stars had bought tens of thousands of copies of their charity duet Stuck With U to boost its position.He also said some streams of his song Gooba were improperly discounted, leaving it in third place on the chart.Grande, Bieber and chart compilers Billboard have all denied the claims.Bieber called the rapper's accusations ""a lie"", while Grande advised him to ""take a moment to humble yourself"".Billboard, which publishes the US charts, posted a lengthy article refuting each of his points while explaining how positions were calculated.""Overall, Stuck With U drew 28.1 million US streams, 26.3 million in radio airplay audience and 108,000 sold in the tracking week,"" it explained. ""Gooba had 55.3 million US streams, 172,000 in radio airplay audience and 24,000 sold.""Those sums resulted in the songs' respective rankings on this week's Hot 100.""End of Youtube post  by ArianaGrandeVevoGooba is Tekashi 6ix9ine's first single since he was released from prison into house arrest last month.He was serving time after pleading guilty to multiple counts of racketeering, firearms offences and drug trafficking, and was freed over fears that his chronic asthma would make him vulnerable to the coronavirus.The 23-year-old first expressed his dissatisfaction on Friday in an Instagram video where he claimed the charts were being rigged.He presented forecasts that were purportedly sent to major record labels on Thursday, which showed Grande and Bieber's duet charting at number five.6ix9ine then showed a second email, which he claimed was sent at ""the last second"" on Thursday night (the cut-off point for sales to be included in the chart). It showed that Stuck With U had sold an additional 60,000 copies, boosting it to number one.""Literally, you're manipulating the charts now,"" he said. ""So, Billboard, the world is watching.""When the charts were announced on Monday, the rapper intensified his criticism, claiming the pop stars had bought tens of thousands of copies of their own single.""Understand this, they bought 30,000 or so units on six credit cards,"" he said. ""It's all manipulated, it's all fabricated,"" he added, before accusing Billboard of ""disqualifying"" 20 million or so of Gooba's streams.""I want the world to know that Billboard is a lie. You can buy number ones.""Bieber rejected several of the rapper's arguments. ""He says his streams don't count,"" he wrote. ""Yes they do, but he is counting his global streams and this is a domestic chart, so only domestic streams count.""He added that the additional 60,000 sales of Stuck With U were not reported until Thursday as a tactic to beat the competition. ""That's called strategy,"" said the singer.And he said it was impossible to buy 30,000 copies of a single on six credit cards because bulk purchases were against chart rules.Grande responded with her own statement on Instagram. Although she didn't mention 6ix9ine by name, she made her feelings clear.After thanking fans for their support, the singer said: ""You cannot discredit this as hard as you try.""She added: ""To anybody that is displeased with their placement on the chart this week... I ask you to take a moment to humble yourself. Be grateful you're even here.""Billboard's column went into forensic detail on how the charts were compiled.Grande and Bieber's tally was boosted by the availability of a physical/digital bundle - meaning fans could buy an autographed copy of the single, to be posted at a later date, along with a download that was available immediately. Both counted as an separate sale.Setting the feud aside, Grande and Bieber's manager Scooter Braun emphasised that proceeds from their single were going to the First Responders Children's Fund.""Thank you to all the first responders and their families,"" he wrote on Instagram. ""Let's keep raising money for them as they sacrifice for us. Nuff said.""",19 May 2020,entertainment
Joe Rogan signs with Spotify in major and exclusive podcast deal,"Joe Rogan has signed an exclusive deal with Spotify, which will see his podcast, The Joe Rogan Experience, disappear from all other platforms.The multi-year deal is believed to be worth $100m (£82 million), according to the Wall Street Journal.Rogan's podcast, which is one of the most popular in the world, will arrive on the streaming giant on 1 September.It will then be housed there exclusively by the end of the year, and removed from all other platforms.""It will remain free, and it will be the exact same show,"" said Rogan. ""It's just a licensing deal, so Spotify won't have any creative control over the show.""They want me to just continue doing it the way I'm doing it right now.""I'm excited to have the support of the largest audio platform in the world and I hope you folks are there when we make the switch!""Joe Rogan is a US stand-up comedian and TV host-turned-provocateur, who launched his podcast in 2009 - in the early days of the medium.He invites a wide range of guests, including actors, musicians, comedians, politicians and conspiracy theorists on to the show, which has garnered a huge audience. Last year the podcast was downloaded 190 million times per month.Rogan has previously advocated for ""long-form media"" - and his own podcast episodes regularly run to two or three hours.The controversial entertainer also has 8.42 million subscribers to his YouTube channel, which has up until now shown the interviews in video form (this will stop when the new Spotify deal kicks in).But he has also attracted criticism - Rogan has been accused of making sexist, racist and transphobic comments in his podcasts.""The Joe Rogan Experience has become one of the internet's foremost vectors for anti-wokeness,"" wrote Justin Peters in Slate.In 2018, Rogan's show hit the headlines when the host shared a cannabis joint with Tesla boss Elon Musk, after which the company's stocks fell by 9%.Rogan has been credited as being an ""unlikely political influencer"" by the New York Times, due to his reach. In January, he informed his legions of followers that he would ""probably vote for Bernie"", referring to the then Democratic Party candidate Bernie Sanders, who received increased press coverage as a result.However, since Joe Biden became the party's presumptive nominee, Rogan has said he is more likely to vote for President Trump.The kind of figures involved in the deal are incredibly rare in the podcast world - and Rogan will now likely earn more money than most musicians on Spotify.""Joe Rogan just got paid the equivalent value of over 26 billion streams for a podcast licence,"" wrote Tom Gray, director of the royalties, music copyright and licensing society, PRS for Music.""A musician would need to generate 23 billion streams on Spotify to earn what they're paying Joe Rogan for his podcast rights."" added music writer Ted Gioia.Gioia suggested this means ""Spotify values Rogan more than any musician in the history of the world"".TV critic and broadcaster Scott Bryan predicted the deal could ""lead the way to others"", but noted that the exclusivity clause would leave many fans locked out.""It might do what Sky did for a lot of shows,"" he tweeted. ""Lift them up, but put them behind a wall that the culture mostly then ignores.""Although Rogan has said the podcast will still be free to access, Spotify will be hoping the increased traffic to its service will lead to a significant increase in subscriber numbers.It is generally difficult to make large amounts of money in the crowded world of podcasts. As most podcasts are free to download, many presenters and producers attempt to make money from endorsements and advertising. A platform-exclusive deal such as this is very rare.  ",20 May 2020,entertainment
