Methane observing firm eyes UK for key base,"The Canadian-based space company GHGSat says it intends to set up a global centre in the UK to analyse the emissions of greenhouse gases.The firm currently flies the spacecraft making the highest resolution measurements of methane (CH4) in the atmosphere.This satellite is the first in a planned network of orbiting observers. The British centre's job will be to take their data and assess the sources of emissions worldwide.For methane - an extremely potent greenhouse gas - these sources could be oil and gas facilities, agriculture, hydro-electric dams, coal mines and landfills.Already, GHGSat is working with operators to identify and plug leaks.It is estimated that 10 million homes could be heated with the methane escaping - largely undetected - from US oil and gas production plants alone. In time, GHGSat wants to fly sensors to monitor carbon dioxide and sulphur dioxide as well. The latter is a significant emission from international shipping.Adina Gillespie, a business development director with GHGSat, said the coronavirus pandemic had complicated the company's search for a European HQ, but wouldn't slow it.She hoped to have it set up by the end of the year, she told BBC News.""We're well anchored in North America with offices in Canada and in Houston, Texas. The UK would be our global analytics hub,"" she explained.The company launched its first satellite, called ""Claire"", in 2016. It delivers 12km by 12km spot measurements of methane in the air. Features larger than 50m across can be sensed. This is sufficient to identify point sources.The next generation of spacecraft will have sharper vision still, down to 25m per pixel. The first of these enhanced sensors, ""Iris"", is booked to go up in June, with a third, ""Hugo"", to follow later in 2020.Ten more satellites should fill out the network in 2021 and 2022.GHGSat has been working closely with the European Space Agency (Esa), using the data from its wide-swath Sentinel-5P/Tropomi mission to make the initial identification of methane ""hotspots"" in the atmosphere before then following up with high-resolution observations from the Claire platform to interrogate the sources further.This Esa partnership is about to be extended further in an agency-funded project with the UK's National Physical Laboratory. NPL is Britain's national standards lab and is a world leader in high-fidelity measurement. It has a mobile system operated from a truck that will go to sites to assess the composition of the local air and look for pollutants. It uses differential absorption lidar and other instruments.Esa and NPL see a future for this system as a way to calibrate and validate satellite observations; to provide ""ground truth"" against which the space observations can be compared. ""NPL is looking to provide 'cal-val' services to different satellite operators and for us there is a really attractive opportunity around their trucks,"" Adina Gillespie said.""We've lined up a project with them and Esa. Once the new satellite is launched this summer, we'll use a landfill in the UK to collect some coincident measurements of methane.""Rod Robinson, principal research scientist from NPL, added: ""Satellite measurements of methane will provide an important element in the suite of tools to enable us to monitor progress towards net zero goals. It is important that the data from them is reliable. ""This project is using NPL's unique range of methane measurement capabilities, including Differential Absorption Lidar (DIAL), to provide high quality calibrated measurements to characterise an existing source of methane, in this case a landfill,"" he told BBC News. ""This will provide a known emission source against which satellites can be regularly checked. This is part of a demonstrator project for Esa, which we then intend to roll out to an ongoing calibration service in the future.""Jonathan.Amos-INTERNET@bbc.co.uk and follow me on Twitter: @BBCAmos",14 May 2020,science
Methane observing firm eyes UK for key base,"The Canadian-based space company GHGSat says it intends to set up a global centre in the UK to analyse the emissions of greenhouse gases.The firm currently flies the spacecraft making the highest resolution measurements of methane (CH4) in the atmosphere.This satellite is the first in a planned network of orbiting observers. The British centre's job will be to take their data and assess the sources of emissions worldwide.For methane - an extremely potent greenhouse gas - these sources could be oil and gas facilities, agriculture, hydro-electric dams, coal mines and landfills.Already, GHGSat is working with operators to identify and plug leaks.It is estimated that 10 million homes could be heated with the methane escaping - largely undetected - from US oil and gas production plants alone. In time, GHGSat wants to fly sensors to monitor carbon dioxide and sulphur dioxide as well. The latter is a significant emission from international shipping.Adina Gillespie, a business development director with GHGSat, said the coronavirus pandemic had complicated the company's search for a European HQ, but wouldn't slow it.She hoped to have it set up by the end of the year, she told BBC News.""We're well anchored in North America with offices in Canada and in Houston, Texas. The UK would be our global analytics hub,"" she explained.The company launched its first satellite, called ""Claire"", in 2016. It delivers 12km by 12km spot measurements of methane in the air. Features larger than 50m across can be sensed. This is sufficient to identify point sources.The next generation of spacecraft will have sharper vision still, down to 25m per pixel. The first of these enhanced sensors, ""Iris"", is booked to go up in June, with a third, ""Hugo"", to follow later in 2020.Ten more satellites should fill out the network in 2021 and 2022.GHGSat has been working closely with the European Space Agency (Esa), using the data from its wide-swath Sentinel-5P/Tropomi mission to make the initial identification of methane ""hotspots"" in the atmosphere before then following up with high-resolution observations from the Claire platform to interrogate the sources further.This Esa partnership is about to be extended further in an agency-funded project with the UK's National Physical Laboratory. NPL is Britain's national standards lab and is a world leader in high-fidelity measurement. It has a mobile system operated from a truck that will go to sites to assess the composition of the local air and look for pollutants. It uses differential absorption lidar and other instruments.Esa and NPL see a future for this system as a way to calibrate and validate satellite observations; to provide ""ground truth"" against which the space observations can be compared. ""NPL is looking to provide 'cal-val' services to different satellite operators and for us there is a really attractive opportunity around their trucks,"" Adina Gillespie said.""We've lined up a project with them and Esa. Once the new satellite is launched this summer, we'll use a landfill in the UK to collect some coincident measurements of methane.""Rod Robinson, principal research scientist from NPL, added: ""Satellite measurements of methane will provide an important element in the suite of tools to enable us to monitor progress towards net zero goals. It is important that the data from them is reliable. ""This project is using NPL's unique range of methane measurement capabilities, including Differential Absorption Lidar (DIAL), to provide high quality calibrated measurements to characterise an existing source of methane, in this case a landfill,"" he told BBC News. ""This will provide a known emission source against which satellites can be regularly checked. This is part of a demonstrator project for Esa, which we then intend to roll out to an ongoing calibration service in the future.""Jonathan.Amos-INTERNET@bbc.co.uk and follow me on Twitter: @BBCAmos",14 May 2020,science
Coronavirus puts spotlight on landmark year for nature,"The pandemic has disrupted conservation work and funding, with potential repercussions for years to come, according to conservation groups.But we can seize the opportunity to push for stronger action to protect the natural world, say Dr Diogo Veríssimo and Dr Nisha Owen from campaign group On The Edge Conservation.The pandemic struck in what was meant to be a landmark year for biodiversity.New goals for protecting the natural world are due to be agreed in October.While lockdown has been linked to a number of positive environmental changes, including wildlife reclaiming urban spaces, we know very little about how large areas of the world that host vast quantities of biodiversity have been faring, said Dr Owen.""There's reports coming in of illegal activities happening on the ground that are not being patrolled for or monitored or counted because of the effects of coronavirus lockdown or reduced staff or reduced funds,"" she said. ""We're not going to know the scale of what that impact may have been on wildlife and biodiversity until we're able to systematically assess that, and that's probably not going to be until we come out of lockdown."" Loss of funding for conservation work is a growing concern, particularly for lesser-known endangered species, such as pangolins, which already receive a ""smaller slice of the cake"".""It is not just the case that organisations in far flung places are feeling difficulties,"" said Dr Veríssimo, who is also a scientist at the University of Oxford. ""It is also right here in the UK where environmental charities are being gravely affected by all the changes that Covid-19 is producing."" The Wildlife and Countryside Link, a coalition of more than 50 environment and wildlife groups in England, recently warned in a report that UK environment charities are facing a dramatic loss of income, which will have an impact on their ability to care for our land, protect wildlife and tackle climate change and nature's decline for years to come.It comes in what was set to be a ""Super Year for Biodiversity"", as coined by the UN, culminating in a global biodiversity conference in October, where new goals for tackling biodiversity over the next decade were due to be drawn up.Though the timetable has changed, this is a key opportunity for world leaders to set strong goals and highlight that biodiversity is integral to human health and well-being, and the planet that we live on, said Dr Owen.Dr Veríssimo added: ""This pandemic had its biological source in a wild animal. It's about our relationship with nature, and how we have now put animals in contexts and situations where these types of diseases are more likely to not only cross species within wildlife but also cross to humans.""Follow Helen on Twitter.",14 May 2020,science
MPs urge UK ban on chlorinated chicken and hormone-fed beef,"Hormone-fed beef and chlorine-washed chicken should remain banned in England after Brexit, the government has been warned.Ministers say the issue will be dealt with in the upcoming Trade Bill. But opponents of these practices say that could lead to farm standards being bargained away in negotiations.Instead, they want ministers to guarantee food standards in the Agriculture Bill, which returns to the House of Commons on Wednesday.Some Conservative MPs have joined up with the opposition to demand protection for England's farmers from lower standard produce from countries like the US.Farmers there are allowed to feed beef with hormones and wash chickens with chlorine solution in order to maximise productivity. But both of these practices are currently banned in the EU. The US demands that ban should be lifted.A government spokesperson said existing protections would not be compromised in trade negotiations.The issue is part of a great upheaval in UK farm and countryside policy – the biggest since World War II. The UK government wants to shift farm grants to reward activities that enhance the environment.Its opponents are concerned at the lack of clarity over exactly how the transformation will happen, and want the changes to be delayed.Minsters are likely to suffer huge pressure in the Commons on the question of food import standards.They face almost identical amendments to the Bill from some Conservative back-benchers; the Environment, Food and Rural Affairs (Efra) Select Committee; and the Labour and Liberal Democrat front benches. They are all calling for a level playing field on food standards.Jyoti Fernandes, from the Landworkers' Alliance, a union of farmers and other land-based workers, said: ""The Agriculture Bill is a historic moment to make or break our food system. “If we don’t protect our farms from being undercut by cheap imports and make a firm commitment to supporting our farmers through this transition, we can wave goodbye to a humane and ecological domestic food supply for future generations.""Sally-Ann Spence, from the Nature Friendly Farming Network, runs a farm in Wiltshire. She said: “As a farmer doing my best to protect our precious natural environment and heritage, the prospect of low-standard imports fills me with dread. “In the UK, we are striving to deliver healthy food at world-leading standards whilst managing the land for wildlife and public goods.“I urge MPs to safeguard our high environmental and animal welfare standards in trade law.”With its huge majority, the government is not thought to be in danger of losing key votes.But Neil Parish, Conservative chair of the Efra committee, said: “We (Tories) put high welfare standards in our manifesto so people will be expecting us to deliver on that. “The government mustn’t allow any trade deal with the US, or anyone else, to undermine British food standards.”A government spokesperson said: ""The UK is renowned for its high environmental, food safety and animal welfare standards. ""We have been clear that in all of our trade negotiations we will not compromise on our high environmental protection, animal welfare and food standards.""Agricultural policies in the UK are devolved.Follow Roger on Twitter.",13 May 2020,science
Nature crisis: Moths have 'secret role' as crucial pollinators,"Long seen as annoying creatures that can leave holes in your clothes, moths have been badly misjudged, say scientists.New research suggests they play a vital role as overnight pollinators of a wide range of flowers and plants. The study says that the moths' transport networks are larger and more complex than those of daytime pollinators like bees.The authors believe there is an urgent need to stem declines in moth numbers. Over the past decade, public anxiety about the role of our pollinators has focused squarely on bees. The fall-off in their numbers, linked to changes in land and widespread use of pesticides, has helped raise environmental awareness of the critical role these creatures play in the food chain. Moths, though, have not evoked similar sympathies. ""There's this big misconception that all moths come and eat my clothes. That's not what happens at all,"" said Dr Richard Walton, from University College London (UCL), the lead author of the new study.""Some of them happen to be visiting flowers and can be an important part of the pollination process.""To find out how vital a part the moths play, Dr Walton and colleagues monitored moth activity around ponds in agricultural areas of Norfolk. They found that 45% of the moths they tested were transporting pollen, which originated from 47 different plant species, including several that were rarely visited by bees, hoverflies and butterflies. The scientists found that while bumblebees and honeybees are critically important, they tended to target the most prolific nectar and pollen sources. Not so with moths.""From what we see from our work, moths tend to be generalists, meaning they're not specifically visiting a narrow group of flowers,"" said Dr Walton.""They're kind of visiting any type of flower that they can access. These tend to be the open cup-shaped flowers like bramble, they can access things from the legume family, the clover family was also very important.""Previous studies on moths have tended to focus on their ability to transport pollen via their proboscis or nose. This new work looked at the pollen collected on the moths' distinctly hairy bodies when they sit on flowers while feeding. The researchers believe their study shows that moths complement the work of daytime pollinators and help keep plant populations diverse and abundant. They serve as a form of back-up for biodiversity, which in turn supports crop yields.The vital role played by the moths has come under increasing threat as they have suffered steep declines in numbers since the 1970s. This is largely due to changes in land use and the increasing use of pesticides. ""This has a knock-on effect for birds that feed on moths, such as the cuckoo. Its decline is kind of tied to moth declines,"" said Dr Walton.""Bats will feed on moths as well, so there's ties to other creatures having declines in their own populations, because their food supply, the moths, are going down as well. You can see this kind of linkage play out.""Helping the moths will require the use of less pesticide and encouraging a wider diversity of plants in the landscape. But perhaps more importantly, the public perception of moths needs to change. ""Something that's out of sight, is often out of mind,"" said Dr Walton.""We just see bees in the daytime and we see them visiting the flower so they've got the better shift when when it comes to work, in terms of being visible.""""But moths are by no means less important. I think it's vital to raise the profile of moths to help the public at large see the important part they play in our ecology.""The study has been published in the Royal Society journal Biology Letters. Follow Matt on Twitter.",13 May 2020,science
Climate change: Study pours cold water on oil company net zero claims,"Claims by oil and gas companies that they are curbing their carbon emissions in line with net zero targets are overstated, according to a new review. The independent analysis of six large European corporations acknowledges they have taken big steps on CO2 recently.In April, Shell became the latest to announce ambitious plans to be at net zero for operational emissions by 2050.But the authors say none of the companies are yet aligned with the 1.5C temperature goal.  Scientists argue that the global temperature must not rise by more than 1.5C by the end of the century if  the world is to avoid the worst impacts of climate change.The research has been carried out by the Transition Pathway Initiative (TPI), an investor-led group which investigates how companies are preparing for the move to a low-carbon economy. Going net zero means removing as many emissions as are produced.TPI found that the relationship between the oil and gas industry and climate change has evolved rapidly over the last three years. In Europe, in 2017, no European company had set targets to reduce the carbon intensity of the energy it supplied. Today, all six companies assessed by the analysis have targets and plans. Over the last six months, say the authors of the report, climate ambitions among these companies have risen markedly. In February, the new head of BP, Bernard Looney, committed to cutting net carbon emissions to zero by 2050 or sooner. Going further than his predecessor, Mr Looney said BP would cut the emissions intensity of its sold products by 50% by the middle of this century. But according to this new analysis, BP and Austrian company OMV are the only two oil and gas companies of the six assessed who have failed to align with the pledges made under the Paris climate agreement.""Is it sufficient? No, it's not,"" said Adam Matthews, co-chair of TPI.""There are ones that have more comprehensive commitments that put them on a path much closer to two degrees than some of the others.""Shell is classed as the most ambitious of the companies assessed and are the closest to a 2C warming scenario.However, despite Shell's stated commitment to having a net-zero energy business by 2050, TPI says that ""the claim that it will be aligned with a 1.5C climate scenario is not consistent with our analysis.""The authors say that they have not been able to assess Shell's plan to sell only its energy products to companies that are committed to net zero.""We can't yet quantify that,"" said Adam Matthews.""But that potentially is very significant. And does get them to a sort of one and a half degree of warming kind of commitment, which is equivalent to net zero.""According to the authors, a genuine net zero strategy for the average European oil and gas company would require 100% emissions cuts between now and 2050. TPI point out that all of the plans they have assessed are, to some degree, dependent on carbon capture and storage (CCS) technology and nature-based solutions such as planting trees. ""There are very significant assumptions that need further probing,"" said Adam Matthews.""And we obviously need greater understanding of the role that that these will play in delivering these strategies.""Four of the companies assessed, Shell, Eni, Total and Repsol, are now aligned with the pledges made under the Paris climate agreement.  However, the authors draw a sharp contrast between the actions of these European companies and oil and gas producers in the US.None of the dozens of American fossil fuel corporations have public disclosures on climate change comparable to Europe, which TPI says is a concern. ""We simply don't know what their intentions are on this issue, that poses a greater financial risk to us,"" said Adam Matthews. ""We're continuing to engage, but engagements are finite, there comes a point at which you have to draw very clear conclusions.""Follow Matt on Twitter.",12 May 2020,science
Longer overlap for modern humans and Neanderthals,"Modern humans began to edge out the Neanderthals in Europe earlier than previously thought, a new study shows.Tests on remains from a cave in northern Bulgaria suggest Homo sapiens was there as early as 46,000 years ago.This is up to 2,000 years older than evidence from Italy and the UK.Around this time, Europe was populated by sparse groups of Neanderthals - a distinct type of human that vanished shortly after modern humans appeared on the scene.There's considerable debate about the length of time that modern humans overlapped with Neanderthals in Europe and other parts of Eurasia.This has implications for the nature of contact between the two groups - and perhaps clues to why Neanderthals went extinct.Two new scientific papers (here and here) describe the finds at Bacho Kiro cave.A tooth and four bone fragments were identified as broadly human based on their anatomical features. Helen Fewlass, from the Max Planck Institute for Evolutionary Anthropology in Leipzig, Germany, and colleagues determined their ages using scientific techniques. Their analysis, in Nature Ecology & Evolution, says the remains yielded ages between 46,000 and 43,000 years ago, assigning them to a stage known as the Initial Upper Palaeolithic.In the other paper, published in Nature journal, Jean-Jacques Hublin, also from the Max Planck Institute, and team members, detail features of the tooth that are found in modern humans but are absent from Neanderthals.Furthermore, they were able to retrieve DNA from these remains, demonstrating that they belonged to Homo sapiens and not their evolutionary cousins.Prof Chris Stringer, research leader for human evolution at the Natural History Museum in London, who was not involved with the latest study, said: ""In my view, this is the oldest and strongest published evidence for an IUP (Initial Upper Palaeolithic) presence of H. sapiens in Europe, several millennia before the Neanderthals disappeared.""The bones were found associated with stone tools and artefacts, such as pendants made from cave bear teeth.These resemble examples found at later sites believed to have been occupied by Neanderthals.This could suggest the two groups interacted sufficiently for modern humans to influence Neanderthal behaviour.On this point, Prof Stringer explained: ""That is certainly possible, although evidence suggests that Neanderthals were producing jewellery made from eagle talons and shells long before the IUP.""Dr Matt Pope, from the Institute of Archaeology at University College London, UK, and was not involved in either study, said: ""If Neanderthals are living - as we tend to think from the genetic evidence - in relatively small dispersed groups of extended families, there may not be that need for complex social coding and symbolism.""This for me is the exciting thing - Neanderthals may pick up these kinds of symbolisms as they become enmeshed and entangled in the social networks of contact that Homo sapiens will be carrying with them as they colonise Europe.""The upper date for the Bacho Kiro remains is older than previous evidence of early Homo sapiens settlement from Kents Cavern in Britain (a jawbone dating to between 44,200 and 41,500 years ago) and from the Italian site of Grotta del Cavallo (two teeth dating to 43,000-45,000 years ago and associated with artefacts belonging to the Uluzzian culture). However, both the British and Italian evidence has been dated using material from the soil layers they were found in. The new paper relied on dating the bones and teeth themselves.Prof Stringer said the Kents Cavern and Cavallo evidence was ""not generally accepted because of uncertainties about their dating or morphology"".A scientific paper published in 2014 proposed that Neanderthals disappeared from Europe between 41,000 and 39,000 years ago with a 95% probability. However, other scientists have found evidence that Neanderthals may have survived later in some areas.At the least, the new finds suggest there was around 5,000 years of chronological overlap between Neanderthals and modern humans in Europe.Dr Pope said there was ""no sudden disappearance"" of Neanderthals in Europe.""The new dates, if they're correct, are pushing back the co-existence of Neanderthals and modern humans a couple of thousand years even further than the evidence from Kents Cavern and the Uluzzian dates,"" he explained.""In some places, we're getting direct evidence for interbreeding events, which could be evidence of social networking and cohesion... but in other examples, we can still see evidence of clear Neanderthal morphologies, suggesting populations that aren't - to any degree - hybridising or being absorbed.""Prof Stringer said initial dispersals of modern humans into Europe may have been by small bands which could not sustain their presence in the face of a larger Neanderthal presence. Indeed, DNA evidence suggests some of these early settlers contributed minimally to the gene pools of later populations.There is even earlier evidence of Homo sapiens in Europe. In 2019, researchers published evidence that a skull fragment from Apidima cave in Greece, dated to 210,000 years ago, belonged to Homo sapiens.However, scientists say this very early foray into Europe was not permanent, and the Apidima Homo sapiens population was later replaced by Neanderthals.Follow Paul on Twitter.",11 May 2020,science
Methane observing firm eyes UK for key base,"The Canadian-based space company GHGSat says it intends to set up a global centre in the UK to analyse the emissions of greenhouse gases.The firm currently flies the spacecraft making the highest resolution measurements of methane (CH4) in the atmosphere.This satellite is the first in a planned network of orbiting observers. The British centre's job will be to take their data and assess the sources of emissions worldwide.For methane - an extremely potent greenhouse gas - these sources could be oil and gas facilities, agriculture, hydro-electric dams, coal mines and landfills.Already, GHGSat is working with operators to identify and plug leaks.It is estimated that 10 million homes could be heated with the methane escaping - largely undetected - from US oil and gas production plants alone. In time, GHGSat wants to fly sensors to monitor carbon dioxide and sulphur dioxide as well. The latter is a significant emission from international shipping.Adina Gillespie, a business development director with GHGSat, said the coronavirus pandemic had complicated the company's search for a European HQ, but wouldn't slow it.She hoped to have it set up by the end of the year, she told BBC News.""We're well anchored in North America with offices in Canada and in Houston, Texas. The UK would be our global analytics hub,"" she explained.The company launched its first satellite, called ""Claire"", in 2016. It delivers 12km by 12km spot measurements of methane in the air. Features larger than 50m across can be sensed. This is sufficient to identify point sources.The next generation of spacecraft will have sharper vision still, down to 25m per pixel. The first of these enhanced sensors, ""Iris"", is booked to go up in June, with a third, ""Hugo"", to follow later in 2020.Ten more satellites should fill out the network in 2021 and 2022.GHGSat has been working closely with the European Space Agency (Esa), using the data from its wide-swath Sentinel-5P/Tropomi mission to make the initial identification of methane ""hotspots"" in the atmosphere before then following up with high-resolution observations from the Claire platform to interrogate the sources further.This Esa partnership is about to be extended further in an agency-funded project with the UK's National Physical Laboratory. NPL is Britain's national standards lab and is a world leader in high-fidelity measurement. It has a mobile system operated from a truck that will go to sites to assess the composition of the local air and look for pollutants. It uses differential absorption lidar and other instruments.Esa and NPL see a future for this system as a way to calibrate and validate satellite observations; to provide ""ground truth"" against which the space observations can be compared. ""NPL is looking to provide 'cal-val' services to different satellite operators and for us there is a really attractive opportunity around their trucks,"" Adina Gillespie said.""We've lined up a project with them and Esa. Once the new satellite is launched this summer, we'll use a landfill in the UK to collect some coincident measurements of methane.""Rod Robinson, principal research scientist from NPL, added: ""Satellite measurements of methane will provide an important element in the suite of tools to enable us to monitor progress towards net zero goals. It is important that the data from them is reliable. ""This project is using NPL's unique range of methane measurement capabilities, including Differential Absorption Lidar (DIAL), to provide high quality calibrated measurements to characterise an existing source of methane, in this case a landfill,"" he told BBC News. ""This will provide a known emission source against which satellites can be regularly checked. This is part of a demonstrator project for Esa, which we then intend to roll out to an ongoing calibration service in the future.""Jonathan.Amos-INTERNET@bbc.co.uk and follow me on Twitter: @BBCAmos",14 May 2020,science
Coronavirus puts spotlight on landmark year for nature,"The pandemic has disrupted conservation work and funding, with potential repercussions for years to come, according to conservation groups.But we can seize the opportunity to push for stronger action to protect the natural world, say Dr Diogo Veríssimo and Dr Nisha Owen from campaign group On The Edge Conservation.The pandemic struck in what was meant to be a landmark year for biodiversity.New goals for protecting the natural world are due to be agreed in October.While lockdown has been linked to a number of positive environmental changes, including wildlife reclaiming urban spaces, we know very little about how large areas of the world that host vast quantities of biodiversity have been faring, said Dr Owen.""There's reports coming in of illegal activities happening on the ground that are not being patrolled for or monitored or counted because of the effects of coronavirus lockdown or reduced staff or reduced funds,"" she said. ""We're not going to know the scale of what that impact may have been on wildlife and biodiversity until we're able to systematically assess that, and that's probably not going to be until we come out of lockdown."" Loss of funding for conservation work is a growing concern, particularly for lesser-known endangered species, such as pangolins, which already receive a ""smaller slice of the cake"".""It is not just the case that organisations in far flung places are feeling difficulties,"" said Dr Veríssimo, who is also a scientist at the University of Oxford. ""It is also right here in the UK where environmental charities are being gravely affected by all the changes that Covid-19 is producing."" The Wildlife and Countryside Link, a coalition of more than 50 environment and wildlife groups in England, recently warned in a report that UK environment charities are facing a dramatic loss of income, which will have an impact on their ability to care for our land, protect wildlife and tackle climate change and nature's decline for years to come.It comes in what was set to be a ""Super Year for Biodiversity"", as coined by the UN, culminating in a global biodiversity conference in October, where new goals for tackling biodiversity over the next decade were due to be drawn up.Though the timetable has changed, this is a key opportunity for world leaders to set strong goals and highlight that biodiversity is integral to human health and well-being, and the planet that we live on, said Dr Owen.Dr Veríssimo added: ""This pandemic had its biological source in a wild animal. It's about our relationship with nature, and how we have now put animals in contexts and situations where these types of diseases are more likely to not only cross species within wildlife but also cross to humans.""Follow Helen on Twitter.",14 May 2020,science
MPs urge UK ban on chlorinated chicken and hormone-fed beef,"Hormone-fed beef and chlorine-washed chicken should remain banned in England after Brexit, the government has been warned.Ministers say the issue will be dealt with in the upcoming Trade Bill. But opponents of these practices say that could lead to farm standards being bargained away in negotiations.Instead, they want ministers to guarantee food standards in the Agriculture Bill, which returns to the House of Commons on Wednesday.Some Conservative MPs have joined up with the opposition to demand protection for England's farmers from lower standard produce from countries like the US.Farmers there are allowed to feed beef with hormones and wash chickens with chlorine solution in order to maximise productivity. But both of these practices are currently banned in the EU. The US demands that ban should be lifted.A government spokesperson said existing protections would not be compromised in trade negotiations.The issue is part of a great upheaval in UK farm and countryside policy – the biggest since World War II. The UK government wants to shift farm grants to reward activities that enhance the environment.Its opponents are concerned at the lack of clarity over exactly how the transformation will happen, and want the changes to be delayed.Minsters are likely to suffer huge pressure in the Commons on the question of food import standards.They face almost identical amendments to the Bill from some Conservative back-benchers; the Environment, Food and Rural Affairs (Efra) Select Committee; and the Labour and Liberal Democrat front benches. They are all calling for a level playing field on food standards.Jyoti Fernandes, from the Landworkers' Alliance, a union of farmers and other land-based workers, said: ""The Agriculture Bill is a historic moment to make or break our food system. “If we don’t protect our farms from being undercut by cheap imports and make a firm commitment to supporting our farmers through this transition, we can wave goodbye to a humane and ecological domestic food supply for future generations.""Sally-Ann Spence, from the Nature Friendly Farming Network, runs a farm in Wiltshire. She said: “As a farmer doing my best to protect our precious natural environment and heritage, the prospect of low-standard imports fills me with dread. “In the UK, we are striving to deliver healthy food at world-leading standards whilst managing the land for wildlife and public goods.“I urge MPs to safeguard our high environmental and animal welfare standards in trade law.”With its huge majority, the government is not thought to be in danger of losing key votes.But Neil Parish, Conservative chair of the Efra committee, said: “We (Tories) put high welfare standards in our manifesto so people will be expecting us to deliver on that. “The government mustn’t allow any trade deal with the US, or anyone else, to undermine British food standards.”A government spokesperson said: ""The UK is renowned for its high environmental, food safety and animal welfare standards. ""We have been clear that in all of our trade negotiations we will not compromise on our high environmental protection, animal welfare and food standards.""Agricultural policies in the UK are devolved.Follow Roger on Twitter.",13 May 2020,science
